dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
4692024c-b9ed-4da3-8793-fc9d9d387276	native		Nearctic region		
fec106e4-e97b-4a98-ad96-2e7cbe8fbf63	native		Afrotropical region		
bece8a12-a5fc-4711-9e02-3b5ba2851226	native		West Palearctic region		
eed1ab92-4ddf-4335-b46f-5999729addbe	native		West Palearctic region		
f017beba-4794-44e5-b363-515be99c672e	native		Oriental region		
a69f2b05-3f6b-40f5-9219-c0b3801b0cdc	native		Nearctic region		
b710e44c-69b6-494d-bdbf-2a0c32819542	native		Afrotropical region		
0c6e1d4d-7b4a-45bb-ab31-a3f51521add8	native		West Palearctic region		
f5ba998e-dbc9-48d8-b909-46ee54744dfd	native		West Palearctic region		
d34166c8-9dd7-4f70-97ee-6d07ba17189a	native		Oriental region, East Palearctic region		
ee171f41-3f20-49e8-b8f8-e2a1a270925f	native		Neotropical region		
72316f67-cecc-4447-bcaf-0d407445a19d	native		East Palearctic region		
ea5d42e1-505f-4bf7-bf38-e46085728b67	native		Oriental region		
965721c7-f211-47bb-a701-8ed6ad54f777	native		West Palearctic region, East Palearctic region		
2bb88733-b6b8-4071-955d-a604d54328da	native		East Palearctic region		
73c3f28e-3de7-44eb-b54c-1f26823d1a98	native		Australian and Pacific regions		
f383d24f-69a7-49c7-82a5-eecece345942	native		West Palearctic region		
ee6ac619-e7e2-441d-9e6c-63093cd875f8	native		West Palearctic region		
70e95a54-061b-4fba-b54b-dc299726bd0b	native		West Palearctic region		
19d10fdd-1a20-4b77-9064-98530cb44691	native		West Palearctic region		
4887fade-0748-4925-bfeb-3e1b96c86ee2	native		Oriental region		
975a308a-e277-440b-8e59-b401df25e371	native		West Palearctic region		
09e4ef92-9eef-4d0d-ba2b-ec2af21e3250	native		Afrotropical region		
2a4ccf4a-4a25-4b56-a61e-832f427ab48a	native		Oriental region		
7bc66d11-d9b2-463d-b0c9-b1ee872e985e	native		West Palearctic region		
8ca0248d-8122-4c45-9bf5-6c6dc5f63028	native		West Palearctic region, East Palearctic region, [Nearctic region, Australian and Pacific regions]		
75b83af9-c478-4b47-937f-c609ee9f0a21	native		Nearctic region		
72ea6473aeacbae6a42c06ddcf06a2d5	native		Neotropical region		
4ec1fdbd-4c04-42ca-85c2-749cc609e848	native		West Palearctic region		
2174d937-5709-46a5-879b-312fbec85c61	native		Afrotropical region		
e6a7a15c-3ba2-4fd2-9ea3-b52e5c8c6144	native		West Palearctic region		
d01d1d15-ec21-4984-985c-01b8857d9923	native		West Palearctic region		
065f5077-7838-40d2-8ab0-eed663880ff8	native		Nearctic region		
aa0b3162-1354-4da7-a6cf-6961901075db	native		Nearctic region		
4fc9c5da-9184-4f3b-b2d4-ea735a50e74d	native		East Palearctic region		
419d8147-9476-46ae-8c95-908aa9159cf9	native		West Palearctic region		
0c21eb9c-8d05-4d68-838e-3cd8d4fdd12f	native		Australian and Pacific regions		
f8bdb251-16a2-417a-9bce-be25075acecb	native		Nearctic region		
069d113c-ce9b-401e-a12d-0b7990b14ebc	native		Afrotropical region		
68cd9e56-26bb-4840-a06c-9cea7130aa1d	native		West Palearctic region		
65e2b630-a58d-4666-a2ea-951c380ba351	native		West Palearctic region		
08715d26-5514-43e0-8c73-0737c0f0d4b5	native		Nearctic region		
