Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	4a543e59a8a6b650f53c772d6cafaddf	Turner, H. J. (1928). Synanthedon flaviventris, Stgr., ab. fulva, nov. ab. In: Notes on collecting, etc. The Entomologist’s Record and Journal of Variation, 40, 165.	Turner, H.J.		Synanthedon flaviventris, Stgr., ab. fulva, nov. ab	Notes on collecting, etc. The Entomologist’s Record and Journal of Variation, 40	01/01/1928	165			en
Journal Article	fda3a9f6ee9fc968b3dab569cdb98cb4	Ureta, E. (1956). Revision de la familia Aegeriidae (Lep. Het.) en Chile. Boletin Del Museo Nacional De Historia Natural (De Chile), 26, 261–267.	Ureta, E.		Revision de la familia Aegeriidae (Lep. Het.) en Chile	Boletin Del Museo Nacional De Historia Natural (De Chile), 26	01/01/1956	261–267			es
Journal Article	954397149e87d9e29fe3ebe034e2ab56	van Eecke, R. (1915). A new Sesiid from Sumatra. Tijdschrift Voor Entomologie, 58, 275–276.	Eecke, R.		A new Sesiid from Sumatra	Tijdschrift Voor Entomologie, 58	01/01/1915	275–276			en
Journal Article	459b1f6b0315b36d4ad5ba45591496c7	Viette, P. (1955). Nouveaux Tineoidea (s.l.) de Madagascar [Lep.]. Annales De La Société Entomologique De France, 123(1954), 75–114. (87–95).	Viette, P.		Nouveaux Tineoidea (s.l.) de Madagascar [Lep]	Annales De La Société Entomologique De France, 123(1954)	01/01/1955	87-95			fr
Journal Article	afd17070b31bebc11fcc3d302fbcc0f4	Viette, P. (1957). Deux nouvelles Sesies de Madagascar (Lep. Aegeriidae). Le Naturaliste Malgache, 9, 91–94.	Viette, P.		Deux nouvelles Sesies de Madagascar (Lep. Aegeriidae)	Le Naturaliste Malgache, 9	01/01/1957	91–94			fr
Journal Article	6f7739a7955ef7f6b47ce49bcef15b4c	Viette, P. (1982). Insectes Lépidoptères Sesiidae. Faune De Madagascar, 61, 1–64.	Viette, P.		Insectes Lépidoptères Sesiidae	Faune De Madagascar, 61	01/01/1982	1–64			pt
Journal Article	ca7f2426b9c16156473f3df1d287d3d6	Walker, F. (1856). Sphingidae. – List of the Specimens of Lepidopterous Insects in the Collection of the British Museum 8, 271 pp. (8-72, 83-84, 260, 270 [index]).	Walker, F.		Sphingidae	List of the Specimens of Lepidopterous Insects in the Collection of the British Museum 8	01/01/1856	8–72, 83–84, 260, 270			en
Journal Article	baf8a9b60bed7b2142efcf39e4e667b9	Walker, F. (1862). Catalogue of the Heterocerous Lepidopterous Insects collected at Sarawak, in Borneo, by Mr. A. R. Wallace, with Descriptions of New Species. Journal of the Proceedings of the Linnean Society. Zoology, 6, 82–145, 171–206. (82–84).	Walker, F.		Catalogue of the Heterocerous Lepidopterous Insects collected at Sarawak, in Borneo, by Mr. A. R. Wallace, with Descriptions of New Species	Journal of the Proceedings of the Linnean Society. Zoology, 6	01/01/1862	82–145, 171–206			en
Miscellaneous	5f897fff4bf1fd6c770a12028b82172c	Walker, F. (1865). List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Supplement 31 (Suppl. 1), 321 pp. – London. (1-26, 110).	Walker, F.			List of the Specimens of Lepidopterous Insects in the Collection of the British Museum. Supplement 31 (Suppl. 1)	01/01/1865	1-26, 110		London	en
Journal Article	b831d1ac7cca70d019f47bd871532b32	Wallengren, H. D. J. (1859). Nya fjäril-slägten. Öfversigt Af Kongliga Vetenskaps-Akademiens Förhandlingar, 15(1858), 75–84, 135–142, 209–215. (84, 135).	Wallengren, H.D.		Nya fjäril-slägten	Öfversigt Af Kongliga Vetenskaps-Akademiens Förhandlingar, 15(1858)	01/01/1859	75–84, 135–142, 209–215			sv
Journal Article	c1f0bb9a15c5763f1bdd17a257766d81	Wallengren, H. D. J. (1863). Lepidopterologische Mittheilungen. III. Wiener Entomologische Monatsschrift, 7, 137–151. (137–138).	Wallengren, H.D.		Lepidopterologische Mittheilungen. III	Wiener Entomologische Monatsschrift, 7	01/01/1863	137–138			nl
