Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Miscellaneous	74cfc99457b07c5fa699e3c4a3d28ff4	Kallies, & Arita. (2016). see Kallies, A., Arita, Y. & Min, W. (2016).	Kallies, A., Y. Arita, and W. Min			unknown	01/01/2016				
Journal Article	0e6f573fd66a8307d5890bb1ed145eac	Kallies, A. (1996). Zur Kenntnis von Bembecia lasicera (Hampson 1906) und Bembecia lamai sp. n. aus dem Himalaya (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 16, 365–372.	Kallies, A.		Zur Kenntnis von Bembecia lasicera (Hampson 1906) und Bembecia lamai sp. n. aus dem Himalaya (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 16	01/01/1996	365–372			de
Journal Article	05e6f2a94a8993ecf38377a3da953de0	Kallies, A. (1997). Eine neue und bemerkenswerte Synanthedon-Art aus Griechenland (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 18, 59–66.	Kallies, A.		Eine neue und bemerkenswerte Synanthedon-Art aus Griechenland (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 18	01/01/1997	59–66			de
Journal Article	e2aeb03756bdfc89ca5720d4b65262c1	Kallies, A. (1999). Revision of the south-western Palaearctic species of Synansphecia (Sesiidae). Nota Lepidopterologica, 22, 82–114.	Kallies, A.		Revision of the south-western Palaearctic species of Synansphecia (Sesiidae)	Nota Lepidopterologica, 22	01/01/1999	82–114			en
Journal Article	57a589ea418e6a46676ab3dfe4223e4a	Kallies, A. (2000). Review of the Tinthiini of the Ethiopian region (Lepidoptera, Sesiidae, Tinthiinae). Tinea, 16, 161–169.	Kallies, A.		Review of the Tinthiini of the Ethiopian region (Lepidoptera, Sesiidae, Tinthiinae)	Tinea, 16	01/01/2000	161–169			el-Latn
Journal Article	25bd5a5a8a26b6ac814d1b62287c22a4	Kallies, A. (2002). A new species of the genus Paradoxecia Hampson, 1919 from Borneo (Lepidoptera: Sesiidae, Tinthiinae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 22, 207–209.	Kallies, A.		A new species of the genus Paradoxecia Hampson, 1919 from Borneo (Lepidoptera: Sesiidae, Tinthiinae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 22	01/01/2002	207–209			el-Latn
Journal Article	93f33f99d72d2bd1e4f3439b521670c2	Kallies, A. (2003). Synanthedon pamphyla sp. n. from southern Turkey with a comparative analysis of mitochondrial DNA of related species (Sesiidae). – Nota lepidopterologica 26(1/2), 35-46.	Kallies, A.		Synanthedon pamphyla sp. n. from southern Turkey with a comparative analysis of mitochondrial DNA of related species (Sesiidae)	Nota lepidopterologica, 26(1/2)	01/01/2003	35–46			en
Journal Article	65467ad1a811645dfaa842d50f3efee4	Kallies, A. (2003). Three new species of Heterosphecia Le Cerf, 1916, from the Oriental Region (Lepidoptera: Sesiidae, Sesiinae). Entomologische Zeitschrift, 113, 34–37.	Kallies, A.		Three new species of Heterosphecia Le Cerf, 1916, from the Oriental Region (Lepidoptera: Sesiidae, Sesiinae)	Entomologische Zeitschrift, 113	01/01/2003	34–37			de
Journal Article	686af9ae5463a5d81db6cbe5cd3b1ed8	Kallies, A. (2003). Two new species of Sesiini from the Oriental Region (Lepidoptera: Sesiidae, Sesiinae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 23, 161–166.	Kallies, A.		Two new species of Sesiini from the Oriental Region (Lepidoptera: Sesiidae, Sesiinae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 23	01/01/2003	161–166			de
Journal Article	93ad79f1b6b0b6403004ad2d5c06489a	Kallies, A. (2004). Sesiidae (Lepidoptera, Sesioidea). Esperiana, Memoir, 1, 185–188.	Kallies, A.		Sesiidae (Lepidoptera, Sesioidea)	Esperiana, Memoir, 1	01/01/2004	185–188			et
Journal Article	7270a575ed224bff40e7554c1d2f5724	Kallies, A. (2011). New species and taxonomic changes in Sesiini from Asia and Europe (Sesiidae). Nota Lepidopterologica, 34, 151–161.	Kallies, A.		New species and taxonomic changes in Sesiini from Asia and Europe (Sesiidae)	Nota Lepidopterologica, 34	01/01/2011	151–161			en
Journal Article	2454d8b51cf11285a0ea16ee67870eb8	Kallies, A. (2020). The clearwing moths (Lepidoptera, Sesiidae) of Australia, New Guinea and the Pacific Islands. Zootaxa, 4833, 1–64.	Kallies, A.		The clearwing moths (Lepidoptera, Sesiidae) of Australia, New Guinea and the Pacific Islands	Zootaxa, 4833	01/01/2020	1–64			en
Journal Article	1abca161654793b4e4055e24ce8b7366	Kallies, A., & Arita, Y. (1998). New and little known clearwing moths (Lepidoptera, Sesiidae) from the Philippine Islands. Transactions of the Lepidopterological Society of Japan, 49, 245–270.	Kallies, A. and  Y. Arita		New and little known clearwing moths (Lepidoptera, Sesiidae) from the Philippine Islands	Transactions of the Lepidopterological Society of Japan, 49	01/01/1998	245–270			en
Journal Article	d477c9d7ba2f215312f4a0b7e65badb0	Kallies, A., & Arita, Y. (2001). The Tinthiinae of North Vietnam (Lepidoptera, Sesiidae). Transactions of the Lepidopterological Society of Japan, 52, 187–235.	Kallies, A. and  Y. Arita		The Tinthiinae of North Vietnam (Lepidoptera, Sesiidae)	Transactions of the Lepidopterological Society of Japan, 52	01/01/2001	187–235			en
Journal Article	a64e64adb4ebf1ed743749aab792b030	Kallies, A., & Arita, Y. (2003). A note on the genus Melittia Hübner from New Guinea, with the description of a new species, Melittia propria sp. nov. (Lepidoptera, Sesiidae). Tinea, 17, 173–175.	Kallies, A. and  Y. Arita		A note on the genus Melittia Hübner from New Guinea, with the description of a new species, Melittia propria sp. nov. (Lepidoptera, Sesiidae)	Tinea, 17	01/01/2003	173–175			en
Journal Article	9ada64c066c7aed4b8b471161bd4eeb9	Kallies, A., & Arita, Y. (2004). A survey of the clearwing moths of the tribe Sesiini (Lepidoptera, Sesiidae) from Vietnam and adjacent countries with a synopsis of the Oriental Sesiini fauna. Tinea, 18, 65–95.	Kallies, A. and  Y. Arita		A survey of the clearwing moths of the tribe Sesiini (Lepidoptera, Sesiidae) from Vietnam and adjacent countries with a synopsis of the Oriental Sesiini fauna	Tinea, 18	01/01/2004	65–95			en
Journal Article	ad3211d48380f0b12d35851e2448a88d	Kallies, A., & Arita, Y. (2004). New Taxa and Records of Clearwing Moths of the Tribe Melittiini (Lepidoptera, Sesiidae) from Vietnam. Japanese Journal of Systematic Entomology, 10, 193–209.	Kallies, A. and  Y. Arita		New Taxa and Records of Clearwing Moths of the Tribe Melittiini (Lepidoptera, Sesiidae) from Vietnam	Japanese Journal of Systematic Entomology, 10	01/01/2004	193–209			en
Journal Article	6844d4265986bc7ac26b3e0962cf9f4f	Kallies, A., & Arita, Y. (2005). Systematic position of the genus Dasysphecia (Lepidoptera, Sesiidae, Cissuvorini) with descriptions of two new bumble bee mimicking species from northern Vietnam. Transactions of the Lepidopterological Society of Japan, 56, 85–92.	Kallies, A. and  Y. Arita		Systematic position of the genus Dasysphecia (Lepidoptera, Sesiidae, Cissuvorini) with descriptions of two new bumble bee mimicking species from northern Vietnam	Transactions of the Lepidopterological Society of Japan, 56	01/01/2005	85–92			en
Journal Article	0d61bed7de58254df88a44792953d576	Kallies, A., & Arita, Y. (2006). New wasp-waisted clearwing moths (Lepidoptera, Sesiidae, Tinthiinae) from Vietnam and Taiwan. Transactions of the Lepidopterological Society of Japan, 57, 371–377.	Kallies, A. and  Y. Arita		New wasp-waisted clearwing moths (Lepidoptera, Sesiidae, Tinthiinae) from Vietnam and Taiwan	Transactions of the Lepidopterological Society of Japan, 57	01/01/2006	371–377			en
Journal Article	00f3c65251af7b940c5b17a6d9f22817	Kallies, A., & de Freina, J. J. (2009). Sesia himachalensis sp. n. and Sesia ladakhensis Špatenka 1990 comb. rev. from the Indian Himalaya (Lepidoptera: Sesiidae, Sesiinae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 30, 169–172.	Kallies, A. and J.J. Freina		Sesia himachalensis sp. n. and Sesia ladakhensis Špatenka 1990 comb. rev. from the Indian Himalaya (Lepidoptera: Sesiidae, Sesiinae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 30	01/01/2009	169–172			el-Latn
Journal Article	2e8d07dfcc7ceb98302bdb935aa12e35	Kallies, A., & Garrevoet, T. C. (2001). A new clearwing moth of the genus Macroscelesia Hampson, 1919 from Java, Indonesia (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 22, 14–16.	Kallies, A. and T.C. Garrevoet		A new clearwing moth of the genus Macroscelesia Hampson, 1919 from Java, Indonesia (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 22	01/01/2001	14–16			el-Latn
Journal Article	eade2478f110cfc0525b01b82bd6f789	Kallies, A., & Petersen, M. (1995). Chamaesphecia tahira sp. n. - eine neue Glasflüglerart aus Ostanatolien (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 16, 75–80.	Kallies, A. and M. Petersen		Chamaesphecia tahira sp. n. - eine neue Glasflüglerart aus Ostanatolien (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 16	01/01/1995	75–80			de
Journal Article	a5d217dd9cf1015a51aab710a867a5d6	Kallies, A., & Riefenstahl, H. G. (1999). Two new clearwing moths of the subfamily Tinthiinae from Brazil (Lepidoptera: Sesiidae). Nachrichten Des Entomologischen Vereins Apollo, N.F., 20, 31–35.	Kallies, A. and Riefenstahl, H.G.		Two new clearwing moths of the subfamily Tinthiinae from Brazil (Lepidoptera: Sesiidae)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 20	01/01/1999	31–35			el-Latn
Journal Article	62f9ed6cbcc582d8ba16c3f1ce54be69	Kallies, A., & Riefenstahl, H. G. (2000). A new species of Bembecia Hübner, [1819] from the Balearic Island of Mallorca (Lepidoptera: Sesiidae). Entomologische Zeitschrift, 110, 359–363.	Kallies, A. and Riefenstahl, H.G.		A new species of Bembecia Hübner, [1819] from the Balearic Island of Mallorca (Lepidoptera: Sesiidae)	Entomologische Zeitschrift, 110	01/01/2000	359–363			en
Journal Article	91740515bdece84ec62f9355d6bd94e0	Kallies, A., & Špatenka, K. (2003). The Clearwing Moths of Iran (Lepidoptera, Sesiidae) (1st part). Linneana Belgica, 19, 81–94.	Kallies, A. and K. Špatenka		The Clearwing Moths of Iran (Lepidoptera, Sesiidae) (1st part	Linneana Belgica, 19	01/01/2003	81–94			en
Journal Article	99f90c90da3cdd1d76bd40bda0f59b42	Kallies, A., & Špatenka, K. (2003). The Clearwing Moths of Iran (Lepidoptera, Sesiidae) (2nd part). Linneana Belgica, 19, 119–126.	Kallies, A. and K. Špatenka		The Clearwing Moths of Iran (Lepidoptera, Sesiidae) (2nd part)	Linneana Belgica, 19	01/01/2003	119–126			en
Journal Article	da2c7ade00300a8acfc935200569daee	Kallies, A., & Štolc, V. (2018). A new species of Aschistophleps from Thailand and Laos, with a new generic synonymy (Lepidoptera, Sesiidae). Zootaxa, 4446, 596–600.	Kallies, A. and V. Štolc		A new species of Aschistophleps from Thailand and Laos, with a new generic synonymy (Lepidoptera, Sesiidae)	Zootaxa, 4446	01/01/2018	596–600			en
Journal Article	c8cd5636ea6e24f619771ce9a0e2d8b5	Kallies, A., Arita, Y., Owada, M., Wu, G.-Y. & Wang, M. (2014). The Paranthrenini of Mainland China (Lepidoptera, Sesiidae). - Zootaxa 3811(2), 185-206.	Kallies, A., Y. Arita, M. Owada, G.Y. Wu, and M. Wang		The Paranthrenini of Mainland China (Lepidoptera, Sesiidae)	Zootaxa, 3811(2)	01/01/2014	185–206			sn
Journal Article	c4713c189d95c192d0eb5c058ce63eaf	Kallies, A., Petersen, M., & Riefenstahl, H. G. (1998). Drei neue Glasflüglerarten aus Anatolien (Lepidoptera, Sesiidae). Esperiana, 6, 56–62, 848–849.	Kallies, A., M. Petersen, and H.G. Riefenstahl		Drei neue Glasflüglerarten aus Anatolien (Lepidoptera, Sesiidae)	Esperiana, 6	01/01/1998	56–62, 848–849			fi
Journal Article	476c11d4c44ce999e2d45d5e353566e7	Kautz, H. (1927). Eine neue Sesiide. Zeitschrift Des Österreichischen Entomologen-Vereines, 12, 1–4.	Kautz, H.		Eine neue Sesiide	Zeitschrift Des Österreichischen Entomologen-Vereines, 12	01/01/1927	1–4			de
Book Chapter	1b9e53142b9c1bf0bd38e6efc4960c18	Kaye, W. J. (1925). New species and subspecies of Trinidad Rhopalocera and Heterocera. – The Transactions of the Entomological Society of London (4th ser.) 1924, 413-428, pl. xlv. (427).	Kaye, W.J.		New species and subspecies of Trinidad Rhopalocera and Heterocera	The Transactions of the Entomological Society of London (4th ser.)	01/01/1925	413–428,			en
Journal Article	3f4a13414fe4161f0977c83dfc92770a	Kellicott, D. S. (1881). Observations on Several Species of Aegeriadae Inhabiting the Vicinity of Buffalo, N. Y. The Canadian Entomologist, 13, 3–8.	Kellicott, D.S.		Observations on Several Species of Aegeriadae Inhabiting the Vicinity of Buffalo, NY	The Canadian Entomologist, 13	01/01/1881	3–8			en
Journal Article	8381be13db8006a481cea1e3958ac490	Kellicott, D. S. (1892). Notes on Aegeriadae of Central Ohio - II. The Canadian Entomologist, 24, 209–212.	Kellicott, D.S.		Notes on Aegeriadae of Central Ohio - II	The Canadian Entomologist, 24	01/01/1892	209–212			en
Journal Article	30b7ebd5d1f8c7cfad2b2733d919dcdd	Kellicott, D. S. (1892). Notes on the Aegeriadae of Central Ohio. The Canadian Entomologist, 24, 42–47.	Kellicott, D.S.		Notes on the Aegeriadae of Central Ohio	The Canadian Entomologist, 24	01/01/1892	42–47			en
Miscellaneous	3ad80fc612836eb02f61b872f598bf93	Kim. (2024). see Kim, S., Jung, J.-K., Park, I., Lee, B.-W. & Kim, Y.-H. (2024).	Kim, S., J.-K. Jung, I. Park, B.-W. Lee, and Y.-H. Kim			unknown	01/01/2024				
Journal Article	025da2e8426b21fbfa38ea8fa73a9949	Kishida, Y., Kudo, T., & Kudo, S. (2014). A new species of Nokona Matsumura from Japan (Lepidoptera, Sesiidae). - Tinea 23(1), 4-9.	Kishida, Y., T. Kudo, and S. Kudo		A new species of Nokona Matsumura from Japan (Lepidoptera, Sesiidae)	Tinea, 23(1)	01/01/2014	4–9			mi
Journal Article	a10f899a55fb35519160847e865eb4e3	Kocak, A. O. (1983). Some notes on “Classification of the superfamily Sesioidea (Lepidoptera: Ditrysia)” by J.P. Heppner & W.D. Duckworth, 1981. Priamus, 2, 169–170.	Kocak, A.O.	Heppner, J.P. and W.D. Duckworth	Some notes on “Classification of the superfamily Sesioidea (Lepidoptera: Ditrysia)” by J.P. Heppner & W.D. Duckworth, 1981	Priamus, 2	01/01/1983	169–170			en
Book	2f563096220f0a2f8e592c12e302b3bd	Köhler, P. (1941). Aegeriidae Argentinas del Instituto Miguel Lillo (Lep. Het.), 3-12. – Buenos Aires.	Köhler, P.			Aegeriidae Argentinas del Instituto Miguel Lillo (Lep. Het.)	01/01/1941	3-12			la
Journal Article	7def30612f75edc5da1302af2f837411	Köhler, P. (1953). Nuevas especies de Heterocera (Lep.). Revista De La Sociedad Entomologica Argentina, 16, 15–24. (21–22).	Köhler, P.		Nuevas especies de Heterocera (Lep)	Revista De La Sociedad Entomologica Argentina, 16	01/01/1953	21-22			es
Journal Article	73a54325c2a4342442255e3c54d9e8d9	Kolenati, F. A. (1846). Meletemata Entomologica 5, 169 pp, 3 pls. – Petropolis (St. Petersburg). (91-92).	Kolenati, F.A.			Meletemata Entomologica, 5	01/01/1846	91-92			jv
Journal Article	f611f00f842971102cbc0411682be715	Kozhantschikov, I. V. (1936). Lepidopterologisches aus Zentral-Sibirien. Folia Zoologica Et Hydrobiologica, 9, 22–29. (26).	Kozhantschikov, I.V.		Lepidopterologisches aus Zentral-Sibirien	Folia Zoologica Et Hydrobiologica, 9	01/01/1936	22–29			en
Journal Article	c440e07cc0f0cd6dbd4d288a97f95553	Králícek, M. (1966). Neue Glasflügler-Art der Gattung Aegeria F. aus Südmähren (Sesiidae, Lep.). Acta Musei Moraviae, Scientiae Naturales, 51, 231–236.	Králícek, M.		Neue Glasflügler-Art der Gattung Aegeria F. aus Südmähren (Sesiidae, Lep)	Acta Musei Moraviae, Scientiae Naturales, 51	01/01/1966	231–236			la
Journal Article	a3b5eea9fefae5927255c69195c91b18	Králícek, M. (1969). Eine neue Glasflügler-Art der Gattung Chamaesphecia Spuler 1910 aus Südmähren (Sesiidae, Lep.). Acta Musei Moraviae, Scientiae Naturales, 54, 115–122.	Králícek, M.		Eine neue Glasflügler-Art der Gattung Chamaesphecia Spuler 1910 aus Südmähren (Sesiidae, Lep)	Acta Musei Moraviae, Scientiae Naturales, 54	01/01/1969	115–122			de
Journal Article	61547035e21ea076877d68ce34a2323a	Králícek, M. (1975). Eine neue Glasflügler-Art aus der Gattung Aegeria Fabricius, 1807 (Synanthedon Hübner, 1819) aus der Slowakei (Lep., Sesiidae). Annotationes Zoologicae Et Botanicae, 104, 1–9.	Králícek, M.		Eine neue Glasflügler-Art aus der Gattung Aegeria Fabricius, 1807 (Synanthedon Hübner, 1819) aus der Slowakei (Lep., Sesiidae	Annotationes Zoologicae Et Botanicae, 104	01/01/1975	1–9			de
Journal Article	b65422fa53c38e0ad61abaec20d9eb3d	Králícek, M., & Povolný, D. (1974). Pennisetia bohemica sp. n. A New Species of Clear Wing Moths (Lepidoptera, Sesiidae) from Bohemia. – Acta Musei Moraviae, Scientiae Naturales, 59, 165–182.	Králícek, M. and D. Povolný		Pennisetia bohemica sp. n. A New Species of Clear Wing Moths (Lepidoptera, Sesiidae) from Bohemia	Acta Musei Moraviae, Scientiae Naturales, 59	01/01/1974	165–182			en
Journal Article	dd6fcdc37010c5a2c0412fd588d1dcf1	Králícek, M., & Povolný, D. (1977). Drei neue Arten und eine neue Untergattung der Tribus Aegeriini (Lepidoptera, Sesiidae) aus der Tschechoslowakei. Vestnik Ceskoslovenské Spolecnosti Zoologické, 41, 81–104.	Králícek, M. and D. Povolný		Drei neue Arten und eine neue Untergattung der Tribus Aegeriini (Lepidoptera, Sesiidae) aus der Tschechoslowakei	Vestnik Ceskoslovenské Spolecnosti Zoologické, 41	01/01/1977	81–104			de
Journal Article	a3535c3e94db4b825f1eaf7990db8231	Kranjcev, R. (1979). Synanthedon croaticus sp. nov. (Lepid. Aegeridae) [sic]. Acta Entomologica Jugoslavica, 14(1978), 27–33.	Kranjcev, R.		Synanthedon croaticus sp. nov. (Lepid. Aegeridae) [sic]	Acta Entomologica Jugoslavica, 14(1978)	01/01/1979	27–33			es
Journal Article	658770263bceefab75e749d54169afdd	Krogmann, L., & Riefenstahl, H. G. (2004). A new species of Alcathoe H. Edwards, [1882] (Lepidoptera: Sesiidae) from Mexico. Entomologische Zeitschrift, 114, 195–197.	Krogmann, L. and H.G. Riefenstahl		A new species of Alcathoe H. Edwards, [1882] (Lepidoptera: Sesiidae) from Mexico	Entomologische Zeitschrift, 114	01/01/2004	195–197			en
Journal Article	0ace41dfd6e85b975fd9e416bef9d833	Kudo, T., Kudo, S., & Kishida, Y. (2019). A new species of the genus Paranthrene from Japan (Lepidoptera, Sesiidae). – Tinea 25 (Suppl. 1), 127-130.	Kudo, T., S. Kudo, and Y. Kishida		A new species of the genus Paranthrene from Japan (Lepidoptera, Sesiidae)	Tinea, 25(Suppl. 1)	01/01/2019	127–130			en
Journal Article	3a52cfa10233ff85fe90d9149ac4b674	Lampa, S. (1883). Anteckningar om sällsyntare svenska Lepidoptera. Entomologisk Tidskrift, 4, 125–128.	Lampa, S.		Anteckningar om sällsyntare svenska Lepidoptera	Entomologisk Tidskrift, 4	01/01/1883	125–128			sv
Miscellaneous	1462b6f7a8adf3edcd176496922e3f8e	Laspeyres, I. H. (1801). Sesiae Europaeae Iconibus et Descriptionibus illustratae, 32 pp, 1 pl. – Berlin.	Laspeyres, I.H.			Sesiae Europaeae Iconibus et Descriptionibus illustratae	01/01/1801	32		Berlin	la
Journal Article	1ab683c6fcc832b9dff347060c502690	Laštuvka, Z. (1983). Two new species of the genus Chamaesphecia Spul. (Sesiidae) from Central and South-east Europe. Acta Universitatis Agriculturae, Facultas Agronomica, 31, 199–214.	Laštuvka, Z.		Two new species of the genus Chamaesphecia Spul. (Sesiidae) from Central and South-east Europe	Acta Universitatis Agriculturae, Facultas Agronomica, 31	01/01/1983	199–214			en
Journal Article		Laštuvka, Z. (1989). Bembecia puella sp. n. aus der Slowakei (Lepidoptera, Sesiidae). Scripta Facultatis Scientiarum Naturalium Universitatis Purkynianae Brunensis, 19, 85–92.	Laštuvka, Z.		Bembecia puella sp. n. aus der Slowakei (Lepidoptera, Sesiidae)	Scripta Facultatis Scientiarum Naturalium Universitatis Purkynianae Brunensis, 19	01/01/1989	85–92			la
Journal Article		Laštuvka, Z. (1990). Zur Taxonomie der Gattungen Chamaesphecia Spuler, Synansphecia Căpușe und Dipchasphecia Căpușe (Lepidoptera, Sesiidae). Acta Universitatis Agriculturae, Facultas Agronomica, 36(1988), 93–103.	Laštuvka, Z.		Zur Taxonomie der Gattungen Chamaesphecia Spuler, Synansphecia Căpușe und Dipchasphecia Căpușe (Lepidoptera, Sesiidae)	Acta Universitatis Agriculturae, Facultas Agronomica, 36(1988)	01/01/1990	93–103			de
Journal Article		Laštuvka, Z. (1997). Ergebnisse der tschechoslowakisch-iranischen entomologischen Expeditionen nach Iran 1970, 1973 und 1977. Lepidoptera: Sesiidae. Acta Entomologica Musei Nationalis Pragae, 44(1995), 295–299.	Laštuvka, Z.		Ergebnisse der tschechoslowakisch-iranischen entomologischen Expeditionen nach Iran 1970, 1973 und 1977. Lepidoptera: Sesiidae	Acta Entomologica Musei Nationalis Pragae, 44(1995)	01/01/1997	295–299			de
Journal Article		Laštuvka, Z., & Laštuvka, A. (1994). Bembecia fibigeri sp. n. aus Spanien (Lepidoptera, Sesiidae). – Nota lepidopterologica 16(3/4) (1993), 233-239.	Laštuvka, Z. and A. Laštuvka		Bembecia fibigeri sp. n. aus Spanien (Lepidoptera, Sesiidae)	Nota lepidopterologica, 16(3/4)	01/01/1994	233–239			af
Journal Article		Laštuvka, Z., & Laštuvka, A. (2007). Pyropteron muscaeformis lusohispanica Laštuvka & Laštuvka, subsp. n. from the Iberian Peninsula (Lepidoptera: Sesiidae). SHILAP Revista De Lepidopterologia, 35, 87–90.	Laštuvka, Z. and A. Laštuvka		Pyropteron muscaeformis lusohispanica Laštuvka & Laštuvka, subsp. n. from the Iberian Peninsula (Lepidoptera: Sesiidae)	SHILAP Revista De Lepidopterologia, 35	01/01/2007	87–90			lt
Journal Article	20c1c2647a8e6bc9a52b8e11fc2e749e	Le Cerf, F. (1909). Trois formes nouvelles de Sesia chrysidiformis Esp. [Lép.]. Bulletin De La Société Entomologique De France, 118–119.	Le Cerf, F.		Trois formes nouvelles de Sesia chrysidiformis Esp	Bulletin De La Société Entomologique De France	01/01/1909	118–119			fr
Journal Article	c850e570d71868854560e96851d1b0f9	Le Cerf, F. (1911). Description d’une Aegeriidae nouvelle de la faune paléarctique [Lep. Sesiidae]. – Bulletin de la Société entomologique de France, 334-335.	Le Cerf, F.		Description d’une Aegeriidae nouvelle de la faune paléarctique [Lep. Sesiidae]	Bulletin De La Société Entomologique De France	01/01/1911	334–335			fr
Journal Article	7b6ce88eada6c9b582ccc1392100d8ba	Le Cerf, F. (1911). Description d’une espèce nouvelle de Sesia [Lep. Aegeriidae]. Bulletin De La Société Entomologique De France, 244–246.	Le Cerf, F.		Description d’une espèce nouvelle de Sesia [Lep. Aegeriidae]	Bulletin De La Société Entomologique De France	01/01/1911	244–246			fr
Journal Article	616261547947e2bd26a947194b3e53ad	Le Cerf, F. (1911). Descriptions d’Aegeriidae nouvelles. Bulletin Du Museum National d`Histoire Naturelle (Paris), 17, 297–307, pls 4–5.	Le Cerf, F.		Descriptions d’Aegeriidae nouvelles	Bulletin Du Museum National d`Histoire Naturelle (Paris), 17	01/01/1911	297–307			fr
Journal Article	2d170f2efc5a101d7741946372a6f508	Le Cerf, F. (1911). Descriptions d’espèces nouvelles d’Aegeriidae (Lep. Heterocera). – Bulletin de la Société entomologique de France, 92-94.	Le Cerf, F.		Descriptions d’espèces nouvelles d’Aegeriidae (Lep. Heterocera)	Bulletin de la Société entomologique de France	01/01/1911	92–94			fr
Miscellaneous	77511c6d583b8071f09b296e0e8cbb2f	Le Cerf, F. (1911). In Le Cerf, F. (1910-1911): Historie naturelle de Sesia hymenopteriformis Bell. – Annales de l’Association des naturalistes de Levallois-Perret 15-16, 11-17.	Le Cerf, F.	Le Cerf, F.	Historie naturelle de Sesia hymenopteriformis Bell	Historie naturelle de Sesia hymenopteriformis Bell. – Annales de l’Association des naturalistes de Levallois-Perret 15-16	01/01/1911	11–17			fr
Journal Article	aaa6763606f421e30bc372b579b1b177	Le Cerf, F. (1912). Description de deux Aegeriidae nouvelles [Lep.]. – Bulletin de la Société entomologique de France, 54-55.	Le Cerf, F.		Description de deux Aegeriidae nouvelles [Lep.]	Bulletin De La Société Entomologique De France	01/01/1912	54–55			fr
Journal Article	901dc98bd0b719d71754b8b5ef5b0c38	Le Cerf, F. (1912). Descriptions de Lépidoptères nouveaux d’Afrique Orientale [Papilionidae et Aegeriidae]. – Bulletin de la Société entomologique de France, 290-292.	Le Cerf, F.		Descriptions de Lépidoptères nouveaux d’Afrique Orientale [Papilionidae et Aegeriidae]	Bulletin De La Société Entomologique De France	01/01/1912	290–292			fr
Journal Article	70e272ab7762a6685416874dea4d74c9	Le Cerf, F. (1913). Description d’une espèce d’Aegeriidae malgache [Lep. Heterocera]. Bulletin De La Société Entomologique De France, 167–168.	Le Cerf, F.		Description d’une espèce d’Aegeriidae malgache [Lep. Heterocera]	Bulletin De La Société Entomologique De France	01/01/1913	167–168			fr
Journal Article	505f53e8d64b85c2f38aa513213bb71b	Le Cerf, F. (1913). Description d’une espèce nouvelle d’Aegeriidae du Congo francais [Lep. Heterocera]. Bulletin De La Société Entomologique De France, 212–213.	Le Cerf, F.		Description d’une espèce nouvelle d’Aegeriidae du Congo francais [Lep. Heterocera]	Bulletin De La Société Entomologique De France	01/01/1913	212–213			fr
Miscellaneous	c32238823fae13a3317c03d78e8c8170	Le Cerf, F. (1914). Description d’une espèce nouvelle du genre Zenodoxus Gr. et Rob. [Lep. Aegeriidae]. Bulletin De La Société Entomologique De France, 272–275.	Le Cerf, F.		Description d’une espèce nouvelle du genre Zenodoxus Gr. et Rob. [Lep. Aegeriidae]	Bulletin De La Société Entomologique De France	01/01/1914	272–275			fr
Journal Article	718a8143a90ef5cdb07837dd0210ad0c	Le Cerf, F. (1914). Description de deux espèces nouvelles d’Aegeriidae [Lep.]. Bulletin De La Société Entomologique De France, 61–63.	Le Cerf, F.		Description de deux espèces nouvelles d’Aegeriidae [Lep.]	Bulletin De La Société Entomologique De France	01/01/1914	61–63			fr
Journal Article	6301740121de10845c49f7ef43c6da33	Le Cerf, F. (1914). Diagnoses sommaires d’espèces et de variétés nouvelles d’Aegeriidae paléarctiques [Lep.]. Bulletin De La Société Entomologique De France, 421–424.	Le Cerf, F.		Diagnoses sommaires d’espèces et de variétés nouvelles d’Aegeriidae paléarctiques [Lep]	Bulletin De La Société Entomologique De France	01/01/1914	421–424			fr
