Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	275	Hirano N. Description of five new Stigmella and one Bohemannia species from Japan, with a new record of one Bohemannia species (Lepidoptera, Nepticulidae). Japan Heterocerists' Journal 256: 124-134. (2010).	Hirano, N.		Description of five new Stigmella and one Bohemannia species from Japan, with a new record of one Bohemannia species (Lepidoptera, Nepticulidae)	Japan Heterocerists' Journal 256	01/01/2010	124–134					
Journal Article	276	Meyrick E. Descriptions of Indian Micro-Lepidoptera, 2. Journal of the Bombay Natural History Society 17: 403-417. (1906).	Meyrick, E.		Descriptions of Indian Micro-Lepidoptera, 2	Journal of the Bombay Natural History Society 17	01/01/1906	403–417					
Journal Article	277	Klimesch J. Ein kleiner Beitrag zur Kenntnis der Nepticulidenfauna (Lep.) des Vintschgaues (Prov. Bozen). Stettiner Entomologische Zeitung 97: 194-211. (1936).	Klimesch, J.		Ein kleiner Beitrag zur Kenntnis der Nepticulidenfauna (Lep.) des Vintschgaues (Prov. Bozen)	Stettiner Entomologische Zeitung 97	01/01/1936	194–211					
Book	278	Treitschke F. Die Schmetterlinge von Europa, 9 (2). Schaben, Geistchen, G. Hypsolopha-Orneodes. Ernst Fleischer, Leipzig, 9 (2): 294 pp. (1833).	Treitschke, F.		9 (2) Hypsolopha-Orneodes	Die Schmetterlinge von Europa	01/01/1833	294	Ernst Fleischer	Leipzig			
Journal Article	279	Vári L. Biologische aantekeningen over Fomoria weaveri Stt. (Stigmellidae). Tijdschrift voor Entomologie 88: 521-523. (1947).	Vári, L.		Biologische aantekeningen over Fomoria weaveri Stt. (Stigmellidae)	Tijdschrift voor Entomologie 88	01/01/1947	521–523					
Journal Article	280	Frey H. Ein Beitrag zur Kenntniss der Microlepidopteren. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 3: 277-296. (1870).	Frey, H.		Ein Beitrag zur Kenntniss der Microlepidopteren	Mitteilungen der Schweizerischen Entomologischen Gesellschaft 3	01/01/1870	277–296					
Journal Article	281	Kuroko H. Nepticulidae, Opostegidae. In: Inoue H, Sugi S, Kuroko H, Moriuti S, Kawabe A (Eds) Moths of Japan 2 Plates and synonymic catalogue. Kodansha, Tokyo, 155, pls 151, 230, 261-262. (1982).	Kuroko, H.,  / Inoue, H., S. Sugi, H. Kuroko, S. Moriuti, and A. Kawabe, eds.	Inoue, H., S. Sugi, H. Kuroko, S. Moriuti, and A. Kawabe, eds.	Nepticulidae, Opostegidae	Moths of Japan 2 Plates and synonymic catalogue	01/01/1982	155	Kodansha	Tokyo			
Journal Article	282	Stonis JR, Diškus A, Remeikis A. The first description of the leaf-mining Nepticulidae (Lepidoptera) feeding on the South American plant genus Liabum, Asteraceae. Zootaxa 4040: 576-582. doi: 10.11646/zootaxa.4040.5.6. (2015).	Stonis, J. R., A. Diškus, and A. Remeikis		The first description of the leaf-mining Nepticulidae (Lepidoptera) feeding on the South American plant genus Liabum, Asteraceae	Zootaxa 4040	01/01/2015	576–582			http://dx.doi.org/10.11646/zootaxa.4040.5.6	10.11646/zootaxa.4040.5.6	en
Journal Article	283	Hering M. Minenstudien 15. Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 45: 1-15. (1935).	Hering, M.		Minenstudien 15	Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 45	01/01/1935	1–15					
Journal Article	284	Frey H. A new Nepticula. Entomologist's Weekly Intelligencer 4: 27. (1858).	Frey, H.		A new Nepticula	Entomologist's Weekly Intelligencer 4	01/01/1858	27					
Book	285	Meyrick E. A handbook of British Lepidoptera. Macmillan & Co, London: vi+843 pp. doi: 10.5962/bhl.title.8019. (1895).	Meyrick, E.			A handbook of British Lepidoptera	01/01/1895		Macmillan & Co	London	http://dx.doi.org/10.5962/bhl.title.8019	10.5962/bhl.title.8019	ny
Journal Article	286	Stainton HT. Lepidoptera. New British species in 1860. Entomologist's Annual 1861: 82-92. (1861).	Stainton, H. T.		New British species in 1860	Entomologist's Annual 1861	01/01/1861	82–92					
Journal Article	287	Nieukerken EJ van. The Cistaceae-feeding Nepticulidae (Lepidoptera) of the western Palaearctic region. Systematic Entomology 8: 453-478. doi: 10.1111/j.1365-3113.1983.tb00495.x. (1983).	van Nieukerken, E. J.,		The Cistaceae-feeding Nepticulidae (Lepidoptera) of the western Palaearctic region	Systematic Entomology 8	01/01/1983	453–478			http://dx.doi.org/10.1111/j.1365-3113.1983.tb00495.x	10.1111/j.1365-3113.1983.tb00495.x	en
Book Chapter	288	Davis DR. Nepticulidae. In: Heppner JB (Ed) Atlas of Neotropical Lepidoptera, Checklist 1: Micropterigoidea-Immoidea. W. Junk, The Hague etc., 17-18. (1984).	Davis, D. R.  / Heppner, J. B., ed.	Heppner, J. B., ed.	Nepticulidae	Atlas of Neotropical Lepidoptera, Checklist 1: Micropterigoidea-Immoidea	01/01/1984	17–18	W. Junk	The Hague			
Journal Article	289	Stonis JR, Rociene A. Additions to the Nepticulidae (Lepidoptera) of East Asia, with descriptions of three new species from Primorskiy Kray. Zootaxa 3846: 17. doi: 10.11646/zootaxa.3846.2.2. (2014).	Stonis, J. R., and A. Rociene		Additions to the Nepticulidae (Lepidoptera) of East Asia, with descriptions of three new species from Primorskiy Kray	Zootaxa 3846	01/01/2014	17			http://dx.doi.org/10.11646/zootaxa.3846.2.2	10.11646/zootaxa.3846.2.2	en
