Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	463	Nemes I. Stigmella (Fomoria) niculescui nova species (Lep. Stigmellidae). Bulletin de la Société Entomologique de Mulhouse 1970: 33-35. (1970).	Nemes, I.		Stigmella (Fomoria) niculescui nova species (Lep. Stigmellidae)	Bulletin de la Société Entomologique de Mulhouse 1970	01/01/1970	33–35					
Journal Article	464	Laštuvka A, Laštuvka Z. Stigmella inopinata sp. n. und Parornix mixta (Triberti) in Mitteleuropa (Lepidoptera). Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis 38: 197-203. (1990).	Laštuvka, A., and Z. Laštuvka		Stigmella inopinata sp. n. und Parornix mixta (Triberti) in Mitteleuropa (Lepidoptera)	Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis 38	01/01/1990	197–203					
Journal Article	465	Wolff NL. Trifurcula griseella nov. spec. (Lepidoptera, Nepticulidae). Entomologiske Meddelelser 28: 19-22. (1957).	Wolff, N. L.		Trifurcula griseella nov. spec. (Lepidoptera, Nepticulidae)	Entomologiske Meddelelser 28	01/01/1957	19–22					
Journal Article	466	Petry A. Nepticula thuringiaca n. sp. Stettiner Entomologische Zeitung 65: 179-181. (1904).	Petry, A.		Nepticula thuringiaca n. sp	Stettiner Entomologische Zeitung 65	01/01/1904	179–181					
Journal Article	467	Skala H. Miner in deutschen Landen. Zeitschrift des Österreichischen Entomologen-Vereins 24: 138-144. (1939).	Skala, H.		Miner in deutschen Landen	Zeitschrift des Österreichischen Entomologen-Vereins 24	01/01/1939	138–144					
Journal Article	468	Ivinskis P, Nieukerken EJ van, Rimsaite J. Trifurcula (Glaucolepis) lituanica sp. n., an unexpected new stem-miner on Salvia pratensis occurring in eastern Europe (Lepidoptera: Nepticulidae). Zootaxa 3570: 41–55. (2012).	Ivinskis, P., E. J. van Nieukerken, and J. Rimsaite		Trifurcula (Glaucolepis) lituanica sp. n., an unexpected new stem-miner on Salvia pratensis occurring in eastern Europe (Lepidoptera: Nepticulidae)	Zootaxa 3570	01/01/2012	41–55					
Book	469	Stainton HT. Manual of British butterflies and moths, 2. Cooke & Son, London: xi, 480 pp. (1859).	Stainton, H. T.			Manual of British butterflies and moths, 2	01/01/1859	480	Cooke & Son	London			
Journal Article	470	Strand E. Niepeltia novum genus Lepidopterorum. Internationale Entomologische Zeitschrift 28: 241. (1934).	Strand, E.		Niepeltia novum genus Lepidopterorum	Internationale Entomologische Zeitschrift 28	01/01/1934	241					
Journal Article	471	Meyrick E. Descriptions of New Zealand Lepidoptera. Transactions and Proceedings of the New Zealand Institute 55: 661-662. (1924).	Meyrick, E.		Descriptions of New Zealand Lepidoptera	Transactions and Proceedings of the New Zealand Institute 55	01/01/1924	661–662					
Journal Article	472	Minet J. Description préliminaire d'Ectoedemia scoblei n. sp., taxon representant une famille nouvelle pour la faune malgache (Lep. Nepticulidae). Bulletin de la Société Entomologique de France 94. (1990).	Minet, J.		Description préliminaire d'Ectoedemia scoblei n. sp., taxon representant une famille nouvelle pour la faune malgache (Lep. Nepticulidae)	Bulletin de la Société Entomologique de France 94	01/01/1990						
Journal Article	473	Le Marchand S. La biologie de Stigmella (Nepticula) sericopeza Z. pose un curieux problème. Revue française de Lépidoptérologie 9: 351-358. (1944).	Le Marchand, S.		La biologie de Stigmella (Nepticula) sericopeza Z. pose un curieux problème	Revue française de Lépidoptérologie 9	01/01/1944	351–358					
Journal Article	474	Boheman CH. Entomologiska anteckningar under en resa i Södra Sverige 1851. Kongliga Svenska Vetenskaps-Akademiens Handlingar 1851: 55-210. doi: http://dx.doi.org/10.5962/bhl.title.35818. (1853).	Boheman, C. H.		Entomologiska anteckningar under en resa i Södra Sverige 1851	Kongliga Svenska Vetenskaps-Akademiens Handlingar 1851	01/01/1853	55–210			http://dx.doi.org/10.5962/bhl.title.35818	10.5962/bhl.title.35818	sv
Journal Article	475	Gustafsson B. A new species of Nepticula v. Heyden from Rhodes (Lep. Nepticulidae). Entomologisk Tidskrift 94: 197-198. (1973).	Gustafsson, B.		A new species of Nepticula v. Heyden from Rhodes (Lep. Nepticulidae)	Entomologisk Tidskrift 94	01/01/1973	197–198					
Journal Article	476	Philpott A. Notes and descriptions of New Zealand Lepidoptera. Transactions and Proceedings of the New Zealand Institute 58: 80-90. (1927).	Philpott, A.		Notes and descriptions of New Zealand Lepidoptera	Transactions and Proceedings of the New Zealand Institute 58	01/01/1927	80–90					
Journal Article	477	Borkowski A. Studien an Stigmelliden (Lepidoptera). Teil II. Fedalmia thymi sp. n.: eine neue Art aus Mitteleuropa. Polskie Pismo Entomologiczne 40: 69-78. (1970).	Borkowski, A.		Studien an Stigmelliden (Lepidoptera). Teil II. Fedalmia thymi sp. n.: eine neue Art aus Mitteleuropa	Polskie Pismo Entomologiczne 40	01/01/1970	69–78					
Miscellaneous	478	Leraut P. Liste systématique et synonymique des Lépidoptères de France, Belgique et Corse (deuxième édition). Supplément à Alexanor, Paris: 526 pp. (1997).	Leraut, P.			Liste systématique et synonymique des Lépidoptères de France, Belgique et Corse (deuxième édition). Supplément à Alexanor	01/01/1997	526		Paris			
Journal Article	479	Klimesch J. Beiträge zur Kenntris der Nepticulidae (Lep., Monotrysia) 1. Die Futterpflanzen der Nahrungsrassen der Stigmella aurella (F.) in Oberösterreich. 2. Stigmella tormentillella (H.S.) und verwandte Arten in den Ostalpen. Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 32: 113-128. (1981).	Klimesch, J.		Beiträge zur Kenntris der Nepticulidae (Lep., Monotrysia) 1. Die Futterpflanzen der Nahrungsrassen der Stigmella aurella (F.) in Oberösterreich. 2. Stigmella tormentillella (H.S.) und verwandte Arten in den Ostalpen	Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 32	01/01/1981	113–128					
Book Chapter	480	Zeller PC. Beiträge zur Kenntnis der nordamericanischen Nachtfalter, besonders der Microlepidopteren. Zweite Abtheilung. Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien 23: 201-334, 202 pls. (1873).	Zeller, P. C.		Beiträge zur Kenntnis der nordamericanischen Nachtfalter, besonders der Microlepidopteren. Zweite Abtheilung	Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien 23	01/01/1873	201–334					
Journal Article	481	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 4: 545-576. (1935).	Meyrick, E.		Exotic Microlepidoptera 4	Exotic Microlepidoptera	01/01/1935	545–576					
Journal Article	482	Johansson R, Nielsen ES. Tribus Nepticulini. In: Johansson R, Nielsen ES, Nieukerken EJ van, Gustafsson B (Eds) The Nepticulidae and Opostegidae (Lepidoptera) of NW Europe. Fauna Entomologica Scandinavica 23: 111-238. (1990).	Johansson, R., and E. S. Nielsen / Johansson, R., E. S. Nielsen, E. J. van Nieukerken, and B. Gustafsson, eds.	Johansson, R., E. S. Nielsen, E. J. van Nieukerken, and B. Gustafsson, eds.	Tribus Nepticulini	The Nepticulidae and Opostegidae (Lepidoptera) of NW Europe. Fauna Entomologica Scandinavica 23	01/01/1990	111–238					
Journal Article	483	Nieukerken EJ van, Berg C van den, Hoare RJB. A new species of the endemic Australian genus Roscidotoga Hoare from rainforests in southern Queensland (Lepidoptera: Nepticulidae). Tijdschrift voor Entomologie 154: 193-201. doi: 10.1163/22119434-900000318. (2011).	van Nieukerken, E. J., C. van denBerg, and R.J.B. Hoare		A new species of the endemic Australian genus Roscidotoga Hoare from rainforests in southern Queensland (Lepidoptera: Nepticulidae)	Tijdschrift voor Entomologie 154	01/01/2011	193–201			http://dx.doi.org/10.1163/22119434-900000318	10.1163/22119434-900000318	en
Journal Article	484	Braun AF. Some undescribed Microlepidoptera and notes on life histories. Transactions of the American Entomological Society 51: 13-17. (1925).	Braun, A. F.		Some undescribed Microlepidoptera and notes on life histories	Transactions of the American Entomological Society 51	01/01/1925	13–17					
Journal Article	485	Capuse I. Eine neue Art der Gattung Nepticula aus Sambia (Lepidoptera,Nepticulidae). Reichenbachia 15: 211-213. (1975).	Capuse, I.		Eine neue Art der Gattung Nepticula aus Sambia (Lepidoptera,Nepticulidae)	Reichenbachia 15	01/01/1975	211–213					
Miscellaneous	486	Klimesch J. Nepticula szocsi spec. nov. (Lepidoptera). Annales Historico-Naturales Musei Nationalis Hungarici 48 (series nova 7): 423-424. (1956).	Klimesch, J.		Nepticula szocsi spec. nov. (Lepidoptera)	Annales Historico-Naturales Musei Nationalis Hungarici 48 (series nova 7)	01/01/1956	423–424					series nova
Journal Article	487	Hartig F. Stigmella babylonicae n. sp. von Salix babylonica L. Zeitschrift der Wiener Entomologischen Gesellschaft 34: 94-96. (1949).	Hartig, F.		Stigmella babylonicae n. sp. von Salix babylonica L	Zeitschrift der Wiener Entomologischen Gesellschaft 34	01/01/1949	94–96					
Journal Article	488	Puplesis R, Seksjaeva S, Sruoga V. Leaf-mining Lepidoptera (Nepticulidae, Bucculatricidae, Gracillariidae) from Ulmus in northern Caspiya (Kaspia). Tijdschrift voor Entomologie 134: 69-73. (1991).	Puplesis, R., S. Seksjaeva, and V. Sruoga		Leaf-mining Lepidoptera (Nepticulidae, Bucculatricidae, Gracillariidae) from Ulmus in northern Caspiya (Kaspia)	Tijdschrift voor Entomologie 134	01/01/1991	69–73					
Journal Article	489	Retzius AI. Genera et Species Insectorum (e generosissimi auctori scriptis). Siegfried Lebrecht Crusium, Lipsiae: i-vi, 1-220 pp. doi: http://dx.doi.org/10.5962/bhl.title.12419. (1783).	Retzius, A. I.			Genera et Species Insectorum (e generosissimi auctori scriptis)	01/01/1783	1–220	Siegfried Lebrecht Crusium	Lipsiae	http://dx.doi.org/10.5962/bhl.title.12419	10.5962/bhl.title.12419	la
Conference Paper	490	Clemens B. Contributions to American Lepidopterology - No. 5. Proceedings of the Academy of Natural Sciences of Philadelphia 12: 203-221. doi: http://biostor.org/reference/98227. (1860).	Clemens, B.		Contributions to American Lepidopterology - No. 5	Proceedings of the Academy of Natural Sciences of Philadelphia 12	01/01/1860	203–221			http://dx.doi.org/http://biostor.org/reference/98227		en
